user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration,tariff_plan,date_start,wait_time,avg_call_duration
166377,2019-08-05 00:00:00+03:00,out,True,880022,True,3,0,5,B,2019-08-01,5,1.6666666666666667
166377,2019-08-05 00:00:00+03:00,out,True,880020,True,1,0,1,B,2019-08-01,1,1.0
166377,2019-08-05 00:00:00+03:00,out,True,880020,False,1,10,18,B,2019-08-01,8,18.0
166377,2019-08-05 00:00:00+03:00,out,False,880022,True,3,0,25,B,2019-08-01,25,8.333333333333334
166377,2019-08-05 00:00:00+03:00,out,False,880020,False,2,3,29,B,2019-08-01,26,14.5
166377,2019-08-05 00:00:00+03:00,out,False,880020,True,8,0,50,B,2019-08-01,50,6.25
166377,2019-08-06 00:00:00+03:00,out,False,881278,True,3,0,29,B,2019-08-01,29,9.666666666666666
166377,2019-08-06 00:00:00+03:00,out,False,880020,True,5,0,70,B,2019-08-01,70,14.0
166377,2019-08-06 00:00:00+03:00,out,True,881278,True,2,0,5,B,2019-08-01,5,2.5
166377,2019-08-06 00:00:00+03:00,out,False,880020,False,5,800,819,B,2019-08-01,19,163.8
166377,2019-08-07 00:00:00+03:00,out,False,880028,True,1,0,15,B,2019-08-01,15,15.0
166377,2019-08-07 00:00:00+03:00,out,False,880026,False,1,21,28,B,2019-08-01,7,28.0
166377,2019-08-07 00:00:00+03:00,out,False,880020,False,2,232,240,B,2019-08-01,8,120.0
166377,2019-08-07 00:00:00+03:00,out,False,880026,True,1,0,17,B,2019-08-01,17,17.0
166377,2019-08-08 00:00:00+03:00,out,False,880022,False,2,558,568,B,2019-08-01,10,284.0
166377,2019-08-08 00:00:00+03:00,out,False,880022,True,4,0,28,B,2019-08-01,28,7.0
166377,2019-08-09 00:00:00+03:00,out,False,880028,False,17,1603,1725,B,2019-08-01,122,101.47058823529412
166377,2019-08-09 00:00:00+03:00,out,False,880028,True,2,0,2,B,2019-08-01,2,1.0
166377,2019-08-09 00:00:00+03:00,out,False,880022,True,2,0,10,B,2019-08-01,10,5.0
